Date,GOOG
2021-07-29,135.4286651611328
2021-07-30,134.11990356445312
2021-08-02,134.88214111328125
2021-08-03,135.17025756835938
2021-08-04,134.92080688476562
2021-08-05,135.8248748779297
2021-08-06,135.92010498046875
2021-08-09,136.87823486328125
2021-08-10,136.97195434570312
2021-08-11,136.5682830810547
2021-08-12,137.2625732421875
2021-08-13,137.27894592285156
2021-08-16,137.78480529785156
2021-08-17,136.18246459960938
2021-08-18,135.4578857421875
2021-08-19,135.79859924316406
2021-08-20,137.30966186523438
2021-08-23,139.9505157470703
2021-08-24,141.2389373779297
2021-08-25,141.7859344482422
2021-08-26,140.96568298339844
2021-08-27,143.3734130859375
2021-08-30,144.28494262695312
2021-08-31,144.27748107910156
2021-09-01,144.65440368652344
2021-09-02,143.0446014404297
2021-09-03,143.5960693359375
2021-09-07,144.33401489257812
2021-09-08,143.70370483398438
2021-09-09,143.73345947265625
2021-09-10,140.76531982421875
2021-09-13,142.29673767089844
2021-09-14,142.23825073242188
2021-09-15,144.0235595703125
2021-09-16,143.19784545898438
2021-09-17,140.31153869628906
2021-09-20,137.88497924804688
2021-09-21,138.5093536376953
2021-09-22,139.79083251953125
2021-09-23,140.6715850830078
2021-09-24,141.47152709960938
2021-09-27,140.3487548828125
2021-09-28,135.07505798339844
2021-09-29,133.42559814453125
2021-09-30,132.18032836914062
2021-10-01,135.3512725830078
2021-10-04,132.67575073242188
2021-10-05,135.068115234375
2021-10-06,136.2355194091797
2021-10-07,138.05210876464844
2021-10-08,138.91552734375
2021-10-11,137.7168731689453
2021-10-12,135.5997314453125
2021-10-13,136.7770538330078
2021-10-14,140.260498046875
2021-10-15,140.5213165283203
2021-10-18,141.7963409423828
2021-10-19,142.65086364746094
2021-10-20,141.2552947998047
2021-10-21,141.61782836914062
2021-10-22,137.49615478515625
2021-10-25,137.64295959472656
2021-10-26,138.53463745117188
2021-10-27,145.23513793945312
2021-10-28,144.93905639648438
2021-10-29,147.06312561035156
2021-11-01,142.60325622558594
2021-11-02,144.67523193359375
2021-11-03,145.59469604492188
2021-11-04,147.47225952148438
2021-11-05,148.02572631835938
2021-11-08,148.1352996826172
2021-11-09,148.03314208984375
2021-11-10,145.43203735351562
2021-11-11,145.5530242919922
2021-11-12,148.42691040039062
2021-11-15,148.17152404785156
2021-11-16,147.86207580566406
2021-11-17,147.84815979003906
2021-11-18,149.4817657470703
2021-11-19,148.7313995361328
2021-11-22,145.88084411621094
2021-11-23,145.5619354248047
2021-11-24,145.5227508544922
2021-11-26,141.64309692382812
2021-11-29,144.92417907714844
2021-11-30,141.2919921875
2021-12-01,140.46478271484375
2021-12-02,142.60572814941406
2021-12-03,141.35992431640625
2021-12-06,142.62554931640625
2021-12-07,146.83102416992188
2021-12-08,147.5094451904297
2021-12-09,146.89996337890625
2021-12-10,147.46434020996094
2021-12-13,145.50987243652344
2021-12-14,143.79000854492188
2021-12-15,146.16847229003906
2021-12-16,143.6590576171875
2021-12-17,141.64013671875
2021-12-20,141.24191284179688
2021-12-21,143.04608154296875
2021-12-22,145.75238037109375
2021-12-23,145.94430541992188
2021-12-27,146.85829162597656
2021-12-28,145.25547790527344
2021-12-29,145.31149291992188
2021-12-30,144.81358337402344
2021-12-31,143.50137329101562
2022-01-03,143.8931427001953
2022-01-04,143.24050903320312
2022-01-05,136.53257751464844
2022-01-06,136.430908203125
2022-01-07,135.88885498046875
2022-01-10,137.44558715820312
2022-01-11,138.87734985351562
2022-01-12,140.4945526123047
2022-01-13,137.99806213378906
2022-01-14,138.64822387695312
2022-01-18,135.1806640625
2022-01-19,134.54737854003906
2022-01-20,132.41934204101562
2022-01-21,129.03265380859375
2022-01-24,129.31036376953125
2022-01-25,125.70348358154297
2022-01-26,128.1875762939453
2022-01-27,128.0695343017578
2022-01-28,132.2041015625
2022-01-31,134.59352111816406
2022-02-01,136.7557373046875
2022-02-02,146.83102416992188
2022-02-03,141.4888916015625
2022-02-04,141.85142517089844
2022-02-07,137.80661010742188
2022-02-08,138.0793914794922
2022-02-09,140.3011474609375
2022-02-10,137.47384643554688
2022-02-11,133.0377655029297
2022-02-14,134.1982421875
2022-02-15,135.31459045410156
2022-02-16,136.36793518066406
2022-02-17,131.2311248779297
2022-02-18,129.40509033203125
2022-02-22,128.34873962402344
2022-02-23,126.54606628417969
2022-02-24,131.59312438964844
2022-02-25,133.4241180419922
2022-02-28,133.79258728027344
2022-03-01,133.07545471191406
2022-03-02,133.6542205810547
2022-03-03,133.21434020996094
2022-03-04,131.04612731933594
2022-03-07,125.43468475341797
2022-03-08,126.2420654296875
2022-03-09,132.77590942382812
2022-03-10,131.60157775878906
2022-03-11,129.4130096435547
2022-03-14,125.70893859863281
2022-03-15,128.6046600341797
2022-03-16,132.6018524169922
2022-03-17,133.50442504882812
2022-03-18,135.68751525878906
2022-03-21,135.36715698242188
2022-03-22,139.13519287109375
2022-03-23,137.37564086914062
2022-03-24,140.16127014160156
2022-03-25,140.36907958984375
2022-03-28,140.79409790039062
2022-03-29,142.08351135253906
2022-03-30,141.48292541503906
2022-03-31,138.51234436035156
2022-04-01,139.5542755126953
2022-04-04,142.4728240966797
2022-04-05,139.91432189941406
2022-04-06,136.05897521972656
2022-04-07,135.35374450683594
2022-04-08,132.9192352294922
2022-04-11,128.7395477294922
2022-04-12,127.32913208007812
2022-04-13,129.22509765625
2022-04-14,126.21678161621094
2022-04-18,126.91899108886719
2022-04-19,129.4680633544922
2022-04-20,127.20118713378906
2022-04-21,123.92012786865234
2022-04-22,118.63997650146484
2022-04-25,122.24636840820312
2022-04-26,118.53285217285156
2022-04-27,114.08387756347656
2022-04-28,118.43913269042969
2022-04-29,114.03031921386719
2022-05-02,116.20297241210938
2022-05-03,117.16756439208984
2022-05-04,121.57686614990234
2022-05-05,115.79582214355469
2022-05-06,114.71818542480469
2022-05-09,112.16313934326172
2022-05-10,113.65142822265625
2022-05-11,113.03298950195312
2022-05-12,112.23951721191406
