Date,GOOG
2021-09-21,138.5093536376953
2021-09-22,139.79083251953125
2021-09-23,140.67160034179688
2021-09-24,141.47152709960938
2021-09-27,140.3487548828125
2021-09-28,135.07504272460938
2021-09-29,133.42559814453125
2021-09-30,132.18031311035156
2021-10-01,135.3512725830078
2021-10-04,132.67575073242188
2021-10-05,135.068115234375
2021-10-06,136.23550415039062
2021-10-07,138.05209350585938
2021-10-08,138.91549682617188
2021-10-11,137.71685791015625
2021-10-12,135.5997314453125
2021-10-13,136.77706909179688
2021-10-14,140.26048278808594
2021-10-15,140.52134704589844
2021-10-18,141.79635620117188
2021-10-19,142.6508331298828
2021-10-20,141.25531005859375
2021-10-21,141.61785888671875
2021-10-22,137.4961700439453
2021-10-25,137.64295959472656
2021-10-26,138.53463745117188
2021-10-27,145.23512268066406
2021-10-28,144.93905639648438
2021-10-29,147.0631103515625
2021-11-01,142.60325622558594
2021-11-02,144.6752471923828
2021-11-03,145.59466552734375
2021-11-04,147.47225952148438
2021-11-05,148.02572631835938
2021-11-08,148.1353302001953
2021-11-09,148.0331573486328
2021-11-10,145.43202209472656
2021-11-11,145.55299377441406
2021-11-12,148.4269256591797
2021-11-15,148.1715087890625
2021-11-16,147.86207580566406
2021-11-17,147.84817504882812
2021-11-18,149.48175048828125
2021-11-19,148.73143005371094
2021-11-22,145.88084411621094
2021-11-23,145.56195068359375
2021-11-24,145.5227813720703
2021-11-26,141.64315795898438
2021-11-29,144.92416381835938
2021-11-30,141.29200744628906
2021-12-01,140.4647979736328
2021-12-02,142.60572814941406
2021-12-03,141.35995483398438
2021-12-06,142.62554931640625
2021-12-07,146.8310546875
2021-12-08,147.5094757080078
2021-12-09,146.8999786376953
2021-12-10,147.46432495117188
2021-12-13,145.50987243652344
2021-12-14,143.7899932861328
2021-12-15,146.16845703125
2021-12-16,143.6590576171875
2021-12-17,141.64015197753906
2021-12-20,141.24192810058594
2021-12-21,143.04612731933594
2021-12-22,145.75238037109375
2021-12-23,145.94430541992188
2021-12-27,146.85830688476562
2021-12-28,145.25547790527344
2021-12-29,145.31150817871094
2021-12-30,144.81361389160156
2021-12-31,143.50137329101562
2022-01-03,143.89312744140625
2022-01-04,143.24049377441406
2022-01-05,136.53257751464844
2022-01-06,136.430908203125
2022-01-07,135.8888702392578
2022-01-10,137.44558715820312
2022-01-11,138.87733459472656
2022-01-12,140.4945526123047
2022-01-13,137.99803161621094
2022-01-14,138.64820861816406
2022-01-18,135.18064880371094
2022-01-19,134.54737854003906
2022-01-20,132.4193572998047
2022-01-21,129.0326385498047
2022-01-24,129.31033325195312
2022-01-25,125.70347595214844
2022-01-26,128.18759155273438
2022-01-27,128.06954956054688
2022-01-28,132.20411682128906
2022-01-31,134.59347534179688
2022-02-01,136.7557373046875
2022-02-02,146.8310546875
2022-02-03,141.48887634277344
2022-02-04,141.85142517089844
2022-02-07,137.806640625
2022-02-08,138.07937622070312
2022-02-09,140.3011474609375
2022-02-10,137.47384643554688
2022-02-11,133.0377960205078
2022-02-14,134.19825744628906
2022-02-15,135.31455993652344
2022-02-16,136.367919921875
2022-02-17,131.23110961914062
2022-02-18,129.40509033203125
2022-02-22,128.3487548828125
2022-02-23,126.54605865478516
2022-02-24,131.59312438964844
2022-02-25,133.4241180419922
2022-02-28,133.79257202148438
2022-03-01,133.07546997070312
2022-03-02,133.65419006347656
2022-03-03,133.21429443359375
2022-03-04,131.04611206054688
2022-03-07,125.43467712402344
2022-03-08,126.2420654296875
2022-03-09,132.77590942382812
2022-03-10,131.6015625
2022-03-11,129.41302490234375
2022-03-14,125.70893096923828
2022-03-15,128.6046600341797
2022-03-16,132.60183715820312
2022-03-17,133.50445556640625
2022-03-18,135.68753051757812
2022-03-21,135.3671417236328
2022-03-22,139.13519287109375
2022-03-23,137.3756561279297
2022-03-24,140.16128540039062
2022-03-25,140.3690948486328
2022-03-28,140.79408264160156
2022-03-29,142.08352661132812
2022-03-30,141.48294067382812
2022-03-31,138.5123291015625
2022-04-01,139.5542755126953
2022-04-04,142.4728240966797
2022-04-05,139.914306640625
2022-04-06,136.05897521972656
2022-04-07,135.35372924804688
2022-04-08,132.9192352294922
2022-04-11,128.7395477294922
2022-04-12,127.32913208007812
2022-04-13,129.22506713867188
2022-04-14,126.21676635742188
2022-04-18,126.91900634765625
2022-04-19,129.46807861328125
2022-04-20,127.201171875
2022-04-21,123.92012786865234
2022-04-22,118.63996887207031
2022-04-25,122.2463607788086
2022-04-26,118.53284454345703
2022-04-27,114.08387756347656
2022-04-28,118.4391098022461
2022-04-29,114.03032684326172
2022-05-02,116.2029800415039
2022-05-03,117.16756439208984
2022-05-04,121.57686614990234
2022-05-05,115.79583740234375
2022-05-06,114.71818542480469
2022-05-09,112.16314697265625
2022-05-10,113.65142822265625
2022-05-11,113.03300476074219
2022-05-12,112.23953247070312
2022-05-13,115.56670379638672
2022-05-16,113.85773468017578
2022-05-17,115.75118255615234
2022-05-18,111.4857177734375
2022-05-19,109.84368133544922
2022-05-20,108.4228744506836
2022-05-23,110.7571792602539
2022-05-24,105.06344604492188
2022-05-25,104.97763061523438
2022-05-26,107.41413879394531
2022-05-27,111.8804702758789
2022-05-31,113.11036682128906
2022-06-01,113.20757293701172
2022-06-02,116.78719329833984
2022-06-03,113.63109588623047
2022-06-06,116.05767059326172
2022-06-07,116.27489471435547
2022-06-08,116.2833251953125
2022-06-09,113.98221588134766
2022-06-10,110.52012634277344
2022-06-13,106.0062026977539
2022-06-14,106.32110595703125
2022-06-15,109.49159240722656
2022-06-16,105.76765441894531
2022-06-17,106.98714447021484
2022-06-21,111.10285186767578
2022-06-22,111.12169647216797
2022-06-23,111.76689910888672
2022-06-24,117.57273864746094
2022-06-27,115.6728286743164
2022-06-28,111.65483093261719
2022-06-29,111.3423843383789
2022-06-30,108.48186492919922
2022-07-01,108.19274139404297
2022-07-05,112.95960998535156
2022-07-06,114.27530670166016
2022-07-07,118.33447265625
2022-07-08,119.1899642944336
2022-07-11,115.57365417480469
2022-07-12,113.91426086425781
2022-07-13,111.2734375
2022-07-14,110.53253173828125
2022-07-15,111.84872436523438
2022-07-18,109.0149917602539
2022-07-19,113.68663787841797
2022-07-20,113.76598358154297
2022-07-21,114.10321807861328
